"gram","mon_freq","chn_freq"
"apo",1.6495389538624e-05,0.000123719152369157
"aqi",0,0.000387911092324129
"aqu",0,0.000240994598885754
"are",0,2.44860822397291e-05
"arr",0,1.28874117051206e-06
"asi",3.29907790772479e-05,6.83032820371389e-05
"aso",1.6495389538624e-05,5.79933526730425e-05
"ato",0.000131963116308992,0.000327340257310062
"atr",0,1.28874117051206e-06
"atu",0.000148458505847616,0.000672722891007293
"aun",0,3.86622351153617e-06
"aur",0,1.28874117051206e-06
"aut",0,1.28874117051206e-06
"ave",0,2.57748234102411e-06
"aw ",0,7.73244702307233e-06
"awa",0,0.00198079517907703
"awe",0,0.000104388034811477
"awo",0,9.53668466178921e-05
"aws",0,1.28874117051206e-06
"awu",6.59815581544958e-05,0.000211353551963977
"ax ",0,2.57748234102411e-06
"axi",0,0.000563179891513768
"axu",0,7.21695055486751e-05
"ayi",4.94861686158719e-05,0.00100650685416992
"ayo",0,4.38171997974099e-05
"ayu",3.29907790772479e-05,0.0012938961351941
"az",0,5.15496468204822e-06
"az ",1.6495389538624e-05,4.89721644794581e-05
"aze",0,1.41761528756326e-05
"azh",0.000296917011695231,0.00603775238384898
"azi",0,0.000221663481328074
"azo",0,1.54648940461447e-05
"azu",0,0.000212642293134489
"b a",0,1.28874117051206e-06
"b p",0,2.57748234102411e-06
"b r",0,1.28874117051206e-06
"b w",0,1.28874117051206e-06
"b x",0,7.73244702307233e-06
"b y",0,7.73244702307233e-06
"b z",0,2.57748234102411e-06
"bac",0,0.000195888657917832
"bae",0,3.86622351153617e-06
"baf",0,1.41761528756326e-05
"bah",1.6495389538624e-05,4.12397174563858e-05
"bai",0.000230935453540735,0.00253882010590875
"baj",0,5.28383879909943e-05
"bak",0,1.41761528756326e-05
"ban",0.00016495389538624,0.000692054008564974
"bao",0,0.000672722891007293
"bap",0,3.22185292628014e-05
"baq",0,4.6394682138434e-05
"baw",0,3.35072704333134e-05
"bax",0,2.19085998987049e-05
"baz",3.29907790772479e-05,0.000105676775981989
"bea",0,5.15496468204822e-06
"bec",0,1.28874117051206e-06
"bei",0,0.00391777315835665
"bia",0,0.000497454091817653
"bie",0,2.19085998987049e-05
"bih",0,1.28874117051206e-06
"bij",1.6495389538624e-05,5.41271291615063e-05
"bim",0,5.15496468204822e-06
"bin",8.24769476931198e-05,0.000103099293640964
"biq",0,1.28874117051206e-06
"bis",0,2.06198587281929e-05
"biw",0,6.44370585256028e-06
"bix",0,5.15496468204822e-06
"biz",0,2.44860822397291e-05
"bl ",0,2.57748234102411e-06
"boa",0,1.28874117051206e-06
"bob",0,6.44370585256028e-06
"boc",0,6.31483173550907e-05
"bof",0,5.15496468204822e-06
"boj",0,3.47960116038255e-05
"bop",0,2.57748234102411e-06
"bou",0,2.57748234102411e-06
"bow",0,6.44370585256028e-06
"box",0,6.44370585256028e-06
"boy",0,1.41761528756326e-05
"boz",0,9.66555877884042e-05
"bp ",0,7.73244702307233e-06
"bra",0,5.15496468204822e-06
"bri",0,3.86622351153617e-06
"bst",0,1.28874117051206e-06
"bua",0,2.57748234102411e-06
"buc",0,0.000322185292628014
"buf",0,1.28874117051206e-06
"buj",1.6495389538624e-05,4.38171997974099e-05
"buk",3.29907790772479e-05,5.79933526730425e-05
"bup",0,3.86622351153617e-06
"buw",0,1.41761528756326e-05
"bux",0,1.67536352166567e-05
"buz",0,0.000173980058019127
"c a",0,2.57748234102411e-06
"c c",0,1.28874117051206e-06
"c d",0,2.57748234102411e-06
"c f",0,1.28874117051206e-06
"c i",0,2.57748234102411e-06
"c j",0,1.28874117051206e-06
"c m",0,1.28874117051206e-06
"c p",0,3.86622351153617e-06
"c q",0,2.57748234102411e-06
"c x",0,2.57748234102411e-06
"c y",0,2.57748234102411e-06
"c z",0,2.57748234102411e-06
"ca ",0,4.25284586268978e-05
"cai",0,0.000715251349634191
"cal",1.6495389538624e-05,3.35072704333134e-05
"can",0,0.000278368092830604
"cao",0,0.00155422185163754
"cap",0,2.57748234102411e-06
"cay",0,1.28874117051206e-06
"cc ",0,1.28874117051206e-06
"cco",0,1.28874117051206e-06
"ce ",0,2.57748234102411e-06
"cea",0,3.86622351153617e-06
"cec",0,9.02118819358439e-06
"ceg",0,1.28874117051206e-06
"cej",0,1.28874117051206e-06
"cek",0,1.28874117051206e-06
"cel",0,3.86622351153617e-06
"cem",0,2.57748234102411e-06
"cen",1.6495389538624e-05,6.57257996961148e-05
"cep",0,2.57748234102411e-06
"ceq",0,1.28874117051206e-06
"ces",0,3.86622351153617e-06
"cet",0,3.86622351153617e-06
"cew",0,1.28874117051206e-06
"cey",0,2.57748234102411e-06
"cha",0.00105570493047193,0.0038700897350477
"che",0.000197944674463487,0.00446677689699478
"cia",0,6.44370585256028e-06
"cib",0,7.73244702307233e-06
"cic",0,1.41761528756326e-05
"cid",0,2.57748234102411e-06
"cif",0,5.15496468204822e-06
"cig",0,2.19085998987049e-05
"cih",0,3.86622351153617e-06
"cij",0,9.02118819358439e-06
"cil",0,1.67536352166567e-05
"cim",0,7.73244702307233e-06
"cip",0,7.73244702307233e-06
"ciq",0,5.15496468204822e-06
"cis",0,9.02118819358439e-06
"cit",1.6495389538624e-05,6.05708350140666e-05
"ciu",0,1.28874117051206e-06
"civ",0,1.28874117051206e-06
"ciw",0,1.41761528756326e-05
"ciy",0,5.67046115025304e-05
"ciz",0,1.15986705346085e-05
"ck ",0,1.28874117051206e-06
"ckt",0,1.28874117051206e-06
"cku",0,1.28874117051206e-06
"cl ",0,1.28874117051206e-06
"clu",0,1.28874117051206e-06
"co ",0,3.86622351153617e-06
"coa",0,1.28874117051206e-06
"col",0,1.28874117051206e-06
"com",0,5.15496468204822e-06
"con",0,5.79933526730425e-05
"cop",0,1.28874117051206e-06
"cou",0,7.73244702307233e-06
"cp ",0,1.28874117051206e-06
"cra",0,1.28874117051206e-06
"cro",0,1.28874117051206e-05
"cry",0,1.28874117051206e-06
"cti",0,1.28874117051206e-06
"cto",0,1.28874117051206e-06
"ctr",0,2.57748234102411e-06
"ctu",0,1.28874117051206e-06
"cu ",0,5.79933526730425e-05
"cui",0,0.000509052762352262
"cuj",0,2.57748234102411e-06
"cul",0,7.73244702307233e-06
"cun",0,0.000404664727540785
"cuo",0,1.41761528756326e-05
"cur",0,1.28874117051206e-05
"cut",0,1.28874117051206e-06
"cuw",0,1.28874117051206e-06
"cuz",0,1.28874117051206e-06
"cyt",0,1.28874117051206e-06
"d c",0,5.15496468204822e-06
"d d",0,6.44370585256028e-06
"d e",0,2.57748234102411e-06
"d f",0,2.57748234102411e-06
"d i",0,5.15496468204822e-06
"d l",0,5.15496468204822e-06
"d p",0,2.06198587281929e-05
"d s",0,2.70635645807532e-05
"d w",0,2.57748234102411e-06
"d x",0,1.93311175576808e-05
"d y",0,3.86622351153617e-06
"d z",0,3.86622351153617e-06
"dac",0,0.000359558786572863
"dad",4.94861686158719e-05,0.000291255504535725
"dae",0,1.15986705346085e-05
"daf",0,0.000154648940461447
"dah",0.000131963116308992,0.000471679268407412
"dai",0.000280421622156607,0.00033249522199211
"daj",0,0.000207487328452441
"dak",0,6.05708350140666e-05
"dam",0.000214440064002111,0.00033249522199211
"dan",0.000346403180311103,0.000648236808767564
"dao",0,0.00123848026486209
"dap",0,0.00023841711654473
"daq",9.89723372317437e-05,0.000177846281530664
"das",0.000461870907081471,0.000634060655891931
"dat",0.000214440064002111,0.000317030327945966
"daw",0,0.000590243456094521
"dax",0,0.000329917739651086
"day",0.000181449284924863,0.000728138761339311
"daz",0,0.000735871208362384
"ddl",0,5.15496468204822e-06
"dea",0,1.28874117051206e-06
"dec",1.6495389538624e-05,1.80423763871688e-05
"def",0,6.44370585256028e-06
"dej",0,2.57748234102411e-06
"dek",0,1.28874117051206e-06
"deq",0,1.28874117051206e-06
"des",1.6495389538624e-05,1.80423763871688e-05
"dew",0,2.57748234102411e-06
"dex",0,3.86622351153617e-06
"dez",0,1.80423763871688e-05
"dia",0,0.00308009139752381
"dib",0,2.83523057512652e-05
"dic",0,0.000197177399088344
"did",0,2.83523057512652e-05
"die",0,3.22185292628014e-05
"dif",0,2.44860822397291e-05
"dig",0,0.000139184046415302
"dih",0,3.22185292628014e-05
"dij",0,8.37681760832836e-05
"dik",0,5.79933526730425e-05
"dil",0,7.21695055486751e-05
"dim",0,6.31483173550907e-05
"din",0,0.000862167843072565
"dip",0,4.25284586268978e-05
"diq",0,2.96410469217773e-05
"dir",0,1.28874117051206e-06
"dis",6.59815581544958e-05,0.000117275446516597
"dit",0,3.09297880922893e-05
"diw",0,5.79933526730425e-05
"dix",0,7.73244702307233e-05
"diz",0,9.15006231063559e-05
"dl ",0,5.15496468204822e-06
"don",0.000263926232617983,0.00735355711894179
"dou",0,0.000351826339549791
"dow",0,2.57748234102411e-06
"dsh",0,2.57748234102411e-06
"dta",0,1.28874117051206e-06
"dua",0,0.000447193186167683
"duc",1.6495389538624e-05,0.000112120481834549
"dud",0,2.3197341069217e-05
"due",0,1.28874117051206e-06
"duf",0,3.86622351153617e-06
"duh",1.6495389538624e-05,1.93311175576808e-05
"dui",0,0.000158515163972983
"duj",0,0.00023841711654473
"duk",0,3.99509762858737e-05
"duo",0,0.000106965517152501
"dup",0,5.15496468204822e-06
"duq",0,1.93311175576808e-05
"dus",0,5.02609056499702e-05
"duw",0,1.15986705346085e-05
"dux",0,9.02118819358439e-06
"duy",1.6495389538624e-05,3.35072704333134e-05
"duz",0,0.000114697964175573
"dwo",0,1.28874117051206e-06
"dyn",0,1.15986705346085e-05
"e  ",3.29907790772479e-05,0.000108254258323013
"e f",0,1.03099293640964e-05
"e j",1.6495389538624e-05,3.73734939448496e-05
"e p",0,2.06198587281929e-05
"e r",0,1.41761528756326e-05
"e v",0,7.73244702307233e-06
"e w",0,1.80423763871688e-05
"e x",0,7.08807643781631e-05
"e y",1.6495389538624e-05,2.44860822397291e-05
"e z",3.29907790772479e-05,4.51059409679219e-05
"ea ",1.6495389538624e-05,1.80423763871688e-05
"eac",0,3.86622351153617e-06
"eak",0,2.57748234102411e-06
"ean",0,7.73244702307233e-06
"ear",0,3.86622351153617e-06
"eas",0,2.57748234102411e-05
"eau",0,1.28874117051206e-06
"eav",0,2.57748234102411e-06
"eba",0,3.73734939448496e-05
"ebi",0,1.41761528756326e-05
"ebo",0,2.57748234102411e-06
"ec ",0,2.57748234102411e-06
"eca",0,2.3197341069217e-05
"ecc",0,1.28874117051206e-06
"ece",0,2.57748234102411e-06
"eci",0,2.57748234102411e-06
"eco",0,1.28874117051206e-06
"ect",0,5.15496468204822e-06
"ecu",0,0.00138281927595944
"eda",1.6495389538624e-05,0.000164958869825543
"edb",0,1.28874117051206e-06
"edi",3.29907790772479e-05,0.000140472787585814
"edo",4.94861686158719e-05,0.000139184046415302
"edu",0,7.86132114012354e-05
"ef ",0,1.28874117051206e-06
"efa",0,3.86622351153617e-05
"efe",0,1.54648940461447e-05
"efo",0,3.47960116038255e-05
"efu",0,1.54648940461447e-05
"ega",0,7.21695055486751e-05
"ego",8.24769476931198e-05,0.000289966763365212
"egu",1.6495389538624e-05,7.86132114012354e-05
"eh",0,2.57748234102411e-06
"eia",0,3.09297880922893e-05
"eib",0,0.00013145159939223
"eic",1.6495389538624e-05,0.000570912338536841
"eid",1.6495389538624e-05,0.0002886780221947
"eie",0,6.44370585256028e-06
"eif",0,9.66555877884042e-05
"eig",1.6495389538624e-05,0.000537405068103527
"eih",0,0.000274501869319068
"eij",0,0.000634060655891931
"eik",0,6.18595761845787e-05
"eil",4.94861686158719e-05,0.000528383879909943
"eim",0,0.00013789530524479
"ein",1.6495389538624e-05,4.38171997974099e-05
"eip",1.6495389538624e-05,0.000130162858221718
"eiq",0,0.000130162858221718
"eir",0,1.41761528756326e-05
"eis",1.6495389538624e-05,0.000572201079707353
"eit",6.59815581544958e-05,0.000309297880922893
"eiw",0,0.000244860822397291
"eix",0,0.000250015787079339
"eiy",3.29907790772479e-05,0.000500031574158678
"eiz",0,0.000936914830962264
"ej ",0,3.86622351153617e-06
"eji",6.59815581544958e-05,0.0012191491473044
"eju",0,5.15496468204822e-06
"eko",9.89723372317437e-05,0.000296410469217773
"eku",1.6495389538624e-05,1.67536352166567e-05
"ela",3.29907790772479e-05,9.15006231063559e-05
"ell",0,2.57748234102411e-06
"elo",4.94861686158719e-05,0.000121141670028133
"elu",6.59815581544958e-05,8.89231407653318e-05
"ely",0,1.28874117051206e-06
"ema",3.29907790772479e-05,7.47469878896992e-05
"emu",0,3.86622351153617e-06
"enc",0.000131963116308992,0.00042012962158693
"enf",0,4.76834233089461e-05
"eng",0.00217739141909836,0.00618080265377582
"enj",0.000131963116308992,0.00108898628908269
"enl",0,0.00026934690463702
"enm",1.6495389538624e-05,0.000173980058019127
"enq",6.59815581544958e-05,0.000117275446516597
"enr",0,3.86622351153617e-06
"ens",0.000131963116308992,0.000210064810793465
"enx",0,0.000115986705346085
"eny",0,0.000265480681125483
"enz",3.29907790772479e-05,0.000737159949532896
"eon",0,2.57748234102411e-06
"eop",0,1.28874117051206e-06
"epa",4.94861686158719e-05,6.57257996961148e-05
"epe",0,1.03099293640964e-05
"epi",0,9.2789364276868e-05
"epo",0,1.67536352166567e-05
"ept",0,1.28874117051206e-06
"eq ",0,2.57748234102411e-06
"eqi",0,0.00010052181129994
"equ",0,3.60847527743376e-05
"era",0,2.83523057512652e-05
"erc",4.94861686158719e-05,0.000121141670028133
"erf",0,1.67536352166567e-05
"erj",0,3.09297880922893e-05
"ern",1.6495389538624e-05,7.99019525717474e-05
"erp",0,5.79933526730425e-05
"erq",1.6495389538624e-05,2.3197341069217e-05
"erw",0,5.02609056499702e-05
"erx",0,1.67536352166567e-05
"ery",3.29907790772479e-05,5.92820938435546e-05
"erz",0,0.000136606564074278
"esh",0.000115467726770368,0.000371157457107472
"esu",1.6495389538624e-05,1.80423763871688e-05
"eta",9.89723372317437e-05,0.000429150809780515
"eto",3.29907790772479e-05,0.000139184046415302
"etr",0,1.15986705346085e-05
"etu",1.6495389538624e-05,0.000108254258323013
"eu ",0,2.57748234102411e-06
"ew",0,2.57748234102411e-06
"ewa",0,0.00018815621089476
"ewo",0,7.73244702307233e-06
"ex ",0,3.86622351153617e-06
"exe",0,1.28874117051206e-06
"exh",0,1.28874117051206e-06
"exi",0,0.000167536352166567
"exu",0,2.57748234102411e-06
"eya",1.6495389538624e-05,0.000125007893539669
"eye",0,7.73244702307233e-06
"eyi",3.29907790772479e-05,9.02118819358439e-05
