"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
2029367,"Shara Enger","Shara Enger","",46.71667,115.13333,"L","AREA","MN","",6,NA,NA,NA,0,NA,801,"Asia/Choibalsan","1994-01-14"
2029368,"Shara-Chulunï Hudag","Shara-Chuluni Hudag","",42.7,103.5,"H","WLL","MN","",14,NA,NA,NA,0,NA,1233,"Asia/Ulaanbaatar","1994-01-14"
2029369,"Shara Büriden Hudag","Shara Buriden Hudag","Kolodets Shara-Buriduin Khuduk,Shara Buriden Hudag,Shara Büriden Hudag,Shara buraiduin khuduk",48.46667,105.15,"H","WLL","MN","MN",18,NA,NA,NA,0,NA,998,"Asia/Ulaanbaatar","2012-01-17"
2029370,"Shara Borin Nuur","Shara Borin Nuur","",48.31667,114.51667,"H","LK","MN","",6,NA,NA,NA,0,NA,779,"Asia/Choibalsan","1994-01-14"
2029371,"Shanh Uul","Shanh Uul","",47.13333,102.83333,"T","MT","MN","",15,NA,NA,NA,0,NA,1872,"Asia/Ulaanbaatar","1994-01-14"
2029372,"Shanh","Shanh","Shanh,Shanha,Shanha Suma,Shanhu,Shankha,Shankha Somon",47.05,102.95,"P","PPL","MN","MN",15,NA,NA,NA,0,NA,1594,"Asia/Ulaanbaatar","2012-01-17"
2029373,"Shandïn Uhaa","Shandin Uhaa","Shan-ting-wu-ha,Shandin Uhaa,Shandïn Uhaa",44.45,111.43333,"T","HLL","MN","MN",7,NA,NA,NA,0,NA,1057,"Asia/Ulaanbaatar","2012-01-17"
2029374,"Shandïn Shovgor Ovoo","Shandin Shovgor Ovoo","Shan-ting-shao-pu-kao-erh-ao-pao,Shandin Shovgor Ovoo,Shandïn Shovgor Ovoo",44.83333,113.03333,"S","CARN","MN","MN",17,NA,NA,NA,0,NA,1304,"Asia/Choibalsan","2012-01-17"
2029375,"Shan-ting-hu-erh-lin-pa-jun-hao-lai","Shan-ting-hu-erh-lin-pa-jun-hao-lai","Shan-ting-hu-erh-lin-pa-jun-hao-lai,Shandin Huralin Baruun Hooloy,Shandïn Huralïn Baruun Hooloy",42.85,110.5,"H","RVN","MN","CN",0,NA,NA,NA,0,NA,1094,"Asia/Ulaanbaatar","2014-03-06"
2029376,"Shandïn Bulag Nuur","Shandin Bulag Nuur","Shan-ting-pu-la-ko-no-erh,Shandin Bulag Nuur,Shandïn Bulag Nuur",49.15,116.16667,"H","LK","MN","MN",6,NA,NA,NA,0,NA,675,"Asia/Choibalsan","2012-01-17"
2029377,"Shandanii Dzüün Öndör","Shandanii Dzuun Ondor","",46.91667,114.55,"T","MT","MN","",6,NA,NA,NA,0,NA,945,"Asia/Choibalsan","1994-01-14"
2029378,"Shandanii Dugang","Shandanii Dugang","Shandanii Dugang,Shandanyy dugang",48.83333,104.2,"P","PPL","MN","MN",21,NA,NA,NA,0,NA,1347,"Asia/Ulaanbaatar","2012-01-17"
2029379,"Shandanii","Shandanii","",46.88333,114.95,"L","AREA","MN","",6,NA,NA,NA,0,NA,943,"Asia/Choibalsan","1994-01-14"
2029380,"Shanda","Shanda","Shanda,Shanda Spring",46.88333,104.1,"H","SPNG","MN","MN",15,NA,NA,NA,0,NA,1672,"Asia/Ulaanbaatar","2012-01-17"
2029381,"Shanaganï Tuurĭ","Shanagani Tuuri","Sha-na-ken-nai-t'ui-erh,Sha-na-ken-nai-t’ui-erh,Shanagani Tuuri,Shanaganï Tuurĭ",44.45,111.41667,"S","RUIN","MN","MN",7,NA,NA,NA,0,NA,1054,"Asia/Ulaanbaatar","2012-01-17"
