"gram","mon_freq","chn_freq"
" hy",0.000263926232617983,0
" i ",3.29907790772479e-05,0
" ic",1.6495389538624e-05,0
" il",1.6495389538624e-05,0
" ir",3.29907790772479e-05,0
" is",1.6495389538624e-05,2.57748234102411e-06
" iu",1.6495389538624e-05,0
" ja",0.000148458505847616,0
" ji",0.0011051910990878,0.000255170751761387
" kh",0.0012371542153968,0
" ko",0.000329907790772479,1.03099293640964e-05
" ku",1.6495389538624e-05,9.02118819358439e-06
" la",0.00016495389538624,7.73244702307233e-05
" lo",0.00016495389538624,3.09297880922893e-05
" lu",1.6495389538624e-05,1.54648940461447e-05
" ma",0.000379393959388351,0.000112120481834549
" mo",0.000857760256008446,7.73244702307233e-06
" mu",0.000181449284924863,3.09297880922893e-05
" no",0.00016495389538624,6.31483173550907e-05
" nu",0.00877554723454794,6.44370585256028e-06
" ny",1.6495389538624e-05,0
" ob",0.00303515167510681,0
" oe",1.6495389538624e-05,0
" oi",6.59815581544958e-05,0
" ol",0.000247430843079359,0
" om",4.94861686158719e-05,0
" on",0.00125364960493542,0
" or",0.000577338633851838,2.57748234102411e-06
" os",1.6495389538624e-05,0
" ot",1.6495389538624e-05,0
" ov",0.00262276693664121,2.57748234102411e-06
" pr",1.6495389538624e-05,7.73244702307233e-06
" pu",1.6495389538624e-05,1.15986705346085e-05
" qa",0.00191346518648038,0
" qo",0.000247430843079359,0
" ra",0.000230935453540735,3.22185292628014e-05
" ri",3.29907790772479e-05,1.41761528756326e-05
" ry",1.6495389538624e-05,0
" sa",0.00163304356432377,3.60847527743376e-05
" se",0.00016495389538624,1.03099293640964e-05
" sh",0.00296917011695231,0.00140472787585814
" sn",1.6495389538624e-05,0
" so",0.000148458505847616,1.93311175576808e-05
" sp",1.6495389538624e-05,5.15496468204822e-06
" st",0.000247430843079359,6.57257996961148e-05
" su",0.00329907790772479,2.83523057512652e-05
" ta",0.00102271415139469,0.000126296634710181
" te",0.000412384738465599,5.15496468204822e-06
" to",0.00522903848374379,3.73734939448496e-05
" ts",0.000181449284924863,0
" tu",0.00070930175016083,1.93311175576808e-05
" u ",0.000148458505847616,0
" ud",9.89723372317437e-05,0
" ue",1.6495389538624e-05,0
" uh",0.000412384738465599,1.28874117051206e-06
" ul",0.00409085660557874,0
" un",8.24769476931198e-05,3.86622351153617e-06
" ur",0.000527852465235967,0
" us",0.00183098823878726,0
