"id","group","geonameid","name","asciiname","alternatenames","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification.date","longitude","latitude"
801,6,2031242,"guchinjisA","Guchin Jisa","Guchin Jisa,Guchin-Dzhisa,Guchitoyn chzhisa,Guchityyn chzhisa,Guchitöyn chzhisa","P","PPL","MN","MN",8,NA,NA,NA,0,NA,1412,"Asia/Ulaanbaatar","2012-01-17",107.721784036371,46.053145628975
802,5,2031255,"gomboiinshüteenduganG","Gomboiin Shuteen Dugang","Gomboiin Shuteen Dugang,Gomboiin Shüteen Dugang,Gomboin Shuten Dugang","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1386,"Asia/Ulaanbaatar","2012-01-17",108.58541979402,48.0877547648824
803,6,2031264,"goldaychinchoyrohiiD","Gol Daychin Choyro Hiid","Gol Daichin Chogr Khid,Gol Dauchin Choyr Khid,Gol Daychin Choyro Hiid,Gol Daychin choyr khid,Gol-Daichin-choyr Khid","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1133,"Asia/Ulaanbaatar","2012-01-17",109.470109357629,46.9059632423032
804,6,2031266,"godolibalgasaniihiiD","Godoli Balgasanii Hiid","Balgas-Nu-Khit,Godli Balgasun Hiid,Godli balgasuin khid,Godli balgasuyn khid,Godoli Balgasanii Hiid,Godoli Balgasanii Hiyd","P","PPL","MN","MN",14,NA,NA,NA,0,NA,1340,"Asia/Ulaanbaatar","2012-01-17",104.709591116532,43.2652923660928
805,8,2031270,"gindeliinhüryeE","Gindeliin Huryee","Gindeliin Huryee,Gindeliin Hüryee,Gindeliin khure,Gindeloin Khure,Gindelyin Khure,Gindelöin Khure,Gindorin-sume,Gundeliin Khure,Gïndorin-sume","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1099,"Asia/Ulaanbaatar","2012-01-17",105.787398303549,47.3830433317935
806,6,2031284,"gegeenhiiD","Gegeen Hiid","Gegeen Hiid,Gegen-Khid","P","PPL","MN","MN",6,NA,NA,NA,0,NA,734,"Asia/Choibalsan","2012-01-17",114.717196791947,48.1475986643417
807,6,2031287,"gedzegenhuraL","Gedzegen Hural","Gedzegen Hural,Gedzegin Khural","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1336,"Asia/Ulaanbaatar","2012-01-17",109.654129246224,46.3563380758493
808,6,2031291,"gatsuurT","Gatsuurt","","P","PPL","MN","",20,NA,NA,NA,0,NA,1577,"Asia/Ulaanbaatar","2003-05-01",107.219548152093,47.8521405733092
809,6,2031297,"gashuuniihiiD","Gashuunii Hiid","Gashuny Khid,Gashunyy-khid,Gashuunii Hiid","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1103,"Asia/Ulaanbaatar","2012-01-17",112.28423051779,48.2104427229336
81,6,1515499,"naranbulaG","Naranbulag","","P","PPL","MN","",12,NA,NA,NA,0,NA,1691,"Asia/Hovd","1994-01-14",92.978046376701,47.4097228051982
810,6,2031320,"ganjirjisA","Ganjir Jisa","Ganchzhur chzhisa,Ganjir Jisa","P","PPL","MN","MN",8,NA,NA,NA,0,NA,1543,"Asia/Ulaanbaatar","2012-01-17",105.956224306444,45.666843723762
811,8,2031325,"gandzagataynhüryeE","Gandzagatayn Huryee","Gandzagatayn Huryee,Gandzagatayn Hüryee,Gandzagaton khure,Gandzagatyn khure,Gandzagatön khure,Gantszagatiin khural","P","PPL","MN","MN",14,NA,NA,NA,0,NA,1617,"Asia/Ulaanbaatar","2012-01-17",102.177639211174,42.9275338088058
812,15,2031328,"galuutaynbayshinG","Galuutayn Bayshing","Galutuin Bayshing,Galutuyn Bayshing,Galuutayn Bayshing","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1345,"Asia/Ulaanbaatar","2012-01-17",108.169787442187,47.4370833581668
814,6,2031332,"galtatayhiiD","Galtatay Hiid","Galtatai-khid,Galtatay Hiid,Galtatay khid","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1006,"Asia/Ulaanbaatar","2012-01-17",111.099966290512,49.0418742533949
815,9,2031337,"galgataY","Galgatay","Galgatay,Golsotay,Golsotoy","P","PPL","MN","MN",16,NA,NA,NA,0,NA,787,"Asia/Ulaanbaatar","2012-01-17",107.416901449708,49.6692321695629
816,5,2031338,"galdatayduganG","Galdatay Dugang","","P","PPL","MN","",21,NA,NA,NA,0,NA,980,"Asia/Ulaanbaatar","2003-05-01",104.368609985856,49.3807223177668
817,8,2031342,"galbadarahasumA","Gal Badaraha Suma","Gal Badaraha,Gal Badaraha Suma,Gal badarahu,Galbadarhu sumu,Galbadarkhu,Galta-badarakhu somon","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1203,"Asia/Ulaanbaatar","2012-01-17",104.670192219878,48.1311207190663
